feature_1,feature_2,correlation,abs_correlation
heart_disease,Triglyceride,,
heart_disease,Cholesterol,,
heart_disease,AF,,
heart_disease,FBS,,
heart_disease,eGFR,,
heart_disease,Creatinine,,
heart_disease,heart_disease,,
hypertension,sex,,
hypertension,age,,
hypertension,height,,
hypertension,bw,,
hypertension,bmi,,
hypertension,smoke,,
hypertension,drinking,,
hypertension,bps,,
hypertension,bpd,,
hypertension,HDL,,
hypertension,LDL,,
hypertension,Triglyceride,,
hypertension,Cholesterol,,
hypertension,AF,,
hypertension,FBS,,
hypertension,eGFR,,
hypertension,Creatinine,,
hypertension,heart_disease,,
hypertension,hypertension,,
diabetes,sex,,
diabetes,age,,
diabetes,height,,
diabetes,bw,,
diabetes,bmi,,
diabetes,smoke,,
diabetes,drinking,,
diabetes,bps,,
diabetes,bpd,,
diabetes,HDL,,
diabetes,LDL,,
diabetes,Triglyceride,,
diabetes,Cholesterol,,
diabetes,AF,,
diabetes,FBS,,
diabetes,eGFR,,
diabetes,Creatinine,,
diabetes,heart_disease,,
diabetes,hypertension,,
diabetes,diabetes,,
Statin,sex,,
Statin,age,,
Statin,height,,
Statin,bw,,
Statin,bmi,,
Statin,smoke,,
Statin,drinking,,
Statin,bps,,
Statin,bpd,,
Statin,HDL,,
Statin,LDL,,
Statin,Triglyceride,,
Statin,Cholesterol,,
Statin,AF,,
Statin,FBS,,
Statin,eGFR,,
Statin,Creatinine,,
Statin,heart_disease,,
Statin,hypertension,,
Statin,diabetes,,
Statin,Statin,,
Gemfibrozil,sex,,
Gemfibrozil,age,,
Gemfibrozil,height,,
Gemfibrozil,bw,,
Gemfibrozil,bmi,,
Gemfibrozil,smoke,,
Gemfibrozil,drinking,,
Gemfibrozil,bps,,
Gemfibrozil,bpd,,
Gemfibrozil,HDL,,
Gemfibrozil,LDL,,
Gemfibrozil,Triglyceride,,
Gemfibrozil,Cholesterol,,
Gemfibrozil,AF,,
Gemfibrozil,FBS,,
Gemfibrozil,eGFR,,
Gemfibrozil,Creatinine,,
Gemfibrozil,heart_disease,,
Gemfibrozil,hypertension,,
Gemfibrozil,diabetes,,
Gemfibrozil,Statin,,
Gemfibrozil,Gemfibrozil,,
TC:HDL_ratio,sex,,
TC:HDL_ratio,age,,
